id;name;description;type;price_per_night;cost_per_night;max_occupancy;address;amenities;check_in_time;check_out_time;rating;contact_info;is_active;is_template;created_at;updated_at
1;playfully though how;../fake-data/blob/hipster.txt;SINGLE;21131.96;29547.21;23571;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;mortally a;sandbar im;1.73;../fake-data/blob/hipster.txt;true;false;2025-07-08T01:27:29;2025-07-08T03:50:00
2;phew furthermore shrill;../fake-data/blob/hipster.txt;VILLA;1133.81;11259.15;5678;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;log;pish miser;0.72;../fake-data/blob/hipster.txt;false;false;2025-07-07T15:24:22;2025-07-08T11:51:26
3;till nor repeatedly;../fake-data/blob/hipster.txt;VILLA;7817.51;26905.84;26534;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;quarrelsom;without ba;0.65;../fake-data/blob/hipster.txt;true;true;2025-07-08T07:13:55;2025-07-07T17:40:54
4;before dampen;../fake-data/blob/hipster.txt;HOSTEL;20302;20904.33;4425;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lest illus;hm;1.05;../fake-data/blob/hipster.txt;true;true;2025-07-07T20:59:30;2025-07-08T14:32:53
5;psst untidy;../fake-data/blob/hipster.txt;DOUBLE;9824.9;27679.44;19982;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lazily;bashfully;4.22;../fake-data/blob/hipster.txt;false;true;2025-07-08T11:17:48;2025-07-07T19:12:19
6;well-to-do buck sparse;../fake-data/blob/hipster.txt;HOSTEL;8283.5;4218.76;23578;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;um seeming;illiterate;2.32;../fake-data/blob/hipster.txt;false;true;2025-07-07T18:21:26;2025-07-08T01:45:04
7;however;../fake-data/blob/hipster.txt;DOUBLE;27964.85;9716.62;24424;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fooey hm u;next outsi;0.63;../fake-data/blob/hipster.txt;true;true;2025-07-08T10:08:57;2025-07-07T16:12:04
8;or;../fake-data/blob/hipster.txt;SUITE;7440.77;15843.24;18772;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;nimble;athwart;1.1;../fake-data/blob/hipster.txt;false;true;2025-07-08T11:03:37;2025-07-08T04:33:00
9;though below;../fake-data/blob/hipster.txt;VILLA;10783;4047.09;31060;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;coolly pil;safely tho;0.93;../fake-data/blob/hipster.txt;true;true;2025-07-07T22:59:44;2025-07-08T03:43:52
10;ski;../fake-data/blob/hipster.txt;HOSTEL;26072.04;30829.78;14162;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unlike unt;deer beep ;2.88;../fake-data/blob/hipster.txt;false;false;2025-07-08T03:33:45;2025-07-08T03:36:09
