id;name;description;category;base_price;base_cost;duration;max_capacity;location;transport_required;transport_included;equipment_provided;requirements;is_active;is_template;created_at;updated_at
1;yowza;../fake-data/blob/hipster.txt;OUTDOOR;9740.78;5929.2;23692;19234;knit crossly;false;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;2025-07-08T02:20:43;2025-07-08T12:27:41
2;consequently immediate restfully;../fake-data/blob/hipster.txt;OUTDOOR;21165.01;2779.22;27357;25947;eventually quaintly harangue;true;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;2025-07-08T01:53:29;2025-07-08T11:52:51
3;abacus;../fake-data/blob/hipster.txt;SPORTS;27862.01;10425.1;11552;8923;between;false;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2025-07-08T06:30:17;2025-07-08T01:33:13
4;pliers youthfully limply;../fake-data/blob/hipster.txt;SPORTS;5295.77;21152.62;14322;7325;round;true;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;2025-07-08T01:04:21;2025-07-07T23:23:33
5;intensely appropriate cheerfully;../fake-data/blob/hipster.txt;CULTURAL;30865.12;6453.14;32642;21047;diver handover;false;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;2025-07-07T19:45:16;2025-07-07T23:38:32
6;bus clavicle;../fake-data/blob/hipster.txt;INDOOR;10320.64;22959.44;22998;30374;satirize of while;true;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;2025-07-07T23:35:46;2025-07-07T21:17:49
7;prejudge ashamed;../fake-data/blob/hipster.txt;DINING;1481.43;25431.7;8351;25478;down;true;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;2025-07-07T19:49:33;2025-07-07T23:48:46
8;pace although expansion;../fake-data/blob/hipster.txt;ADVENTURE;13756.06;7529.48;10180;17403;excellent;false;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2025-07-08T04:30:10;2025-07-08T05:02:07
9;meanwhile;../fake-data/blob/hipster.txt;CULTURAL;13688.14;17887.35;19397;13568;instead chime;false;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2025-07-08T08:48:28;2025-07-07T15:41:42
10;usher pixellate alive;../fake-data/blob/hipster.txt;NIGHTLIFE;28610.36;13749.79;401;11004;how that;true;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2025-07-08T10:41:02;2025-07-08T11:26:17
