id;entity_type;entity_id;action;old_value;new_value;field_name;user_id;user_role;timestamp;ip_address;user_agent;session_id
1;so vague;rebuild;STATUS_CHANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;politely slope finally;ack greatly;COOK;2025-07-07T23:39:07;um;../fake-data/blob/hipster.txt;qua hence mentor
2;daddy woot;suddenly march instead;UPDATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unlike tag;sociable;LOGISTICS;2025-07-07T15:48:40;why what;../fake-data/blob/hipster.txt;mmm bug
3;turbulent massive whether;provided usefully until;APPROVE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hollow across minus;delightfully;LOGISTICS;2025-07-08T08:21:49;angrily victoriously;../fake-data/blob/hipster.txt;apparatus
4;vivaciously;refute;STATUS_CHANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;morbidity before;repentant;SALES;2025-07-08T10:48:39;quaintly bicycle incidentally;../fake-data/blob/hipster.txt;hence
5;oof victoriously giving;against vain knowledgeably;CREATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;expensive corporation guacamole;oval;LOGISTICS;2025-07-07T19:40:17;tall mortar brr;../fake-data/blob/hipster.txt;cheerful
6;how;harmful whoever dusk;DELETE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unexpectedly ouch;ouch;COOK;2025-07-08T12:23:29;although truthfully;../fake-data/blob/hipster.txt;license upbeat huzzah
7;gosh pro;impractical attend gee;APPROVE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hollow when;er misread gently;SALES;2025-07-08T02:46:30;emphasise whirlwind;../fake-data/blob/hipster.txt;to on
8;dock;consequently above;UPDATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;as finding forenenst;ick cutlet gracefully;LOGISTICS;2025-07-08T05:00:58;elevation oh;../fake-data/blob/hipster.txt;amongst
9;each muted around;unless striking;DELETE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lanky with amongst;physically denitrify;COOK;2025-07-08T05:26:19;annually while;../fake-data/blob/hipster.txt;provided
10;step;yum;STATUS_CHANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;per reopen;bug till but;LOGISTICS;2025-07-08T12:58:57;upon gently instead;../fake-data/blob/hipster.txt;playfully overplay
