id;name;client_name;event_date;event_location;guest_count;event_gender;description;total_amount;total_cost;profit_margin;meals_amount;activities_amount;transport_amount;accommodation_amount;status;payment_status;is_closed;internal_notes;client_notes;template_id;workflow_triggered;last_workflow_execution;version;conflict_status;last_modified_by;approved_at;reserved_at;created_at;updated_at;created_by_id;client_id
1;makeover whose;around out;2025-07-08;but;471;WOMEN;../fake-data/blob/hipster.txt;31979.44;25003.26;10250.09;6233.52;22088.26;18128.13;10274.81;APPROVED;PAID;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;perky hopelessly because;false;2025-07-07T15:25:44;23771;RESOLVED;where;2025-07-07T19:24:53;2025-07-08T00:09:37;2025-07-08T00:31:34;2025-07-08T06:41:58;1;1
2;depart;once via bare;2025-07-08;youthfully reiterate capsize;762;MEN;../fake-data/blob/hipster.txt;20165.87;27380.13;23702.52;17169.31;30080.59;17072.58;32022.82;PENDING;PAID;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;commercial apud;false;2025-07-08T07:17:12;5450;RESOLVED;indeed per;2025-07-07T23:31:09;2025-07-08T06:19:02;2025-07-08T10:25:40;2025-07-07T19:40:09;2;2
3;guard;mindless bah for;2025-07-07;feminize bleakly;706;MIXED;../fake-data/blob/hipster.txt;29582.91;7151.65;7037.81;6151.25;17871.34;31715.61;29341.44;RESERVA;PARTIALLY_PAID;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;for;true;2025-07-08T13:40:12;9517;NONE;meh;2025-07-08T03:41:44;2025-07-08T10:56:52;2025-07-07T17:13:05;2025-07-08T12:54:20;3;3
4;biodegradable;chainstay option;2025-07-08;heartfelt coolly;885;WOMEN;../fake-data/blob/hipster.txt;2058.76;32389.6;3545.84;32565.19;2301.6;14278.19;18956.6;REJECTED;PAID;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lively near;true;2025-07-08T08:50:18;30771;RESOLVED;second inside;2025-07-08T02:26:33;2025-07-08T02:00:04;2025-07-08T09:45:26;2025-07-08T04:10:43;4;4
5;concerning honorable;rigidly haunting;2025-07-08;slimy geez yippee;60;WOMEN;../fake-data/blob/hipster.txt;5209.22;25447.67;16031.03;8651.33;23385.68;11292.32;12800.72;COMPLETED;PARTIALLY_PAID;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;monasticism er;false;2025-07-07T22:55:51;28284;ESCALATED;brr so;2025-07-08T06:03:18;2025-07-07T22:15:45;2025-07-08T00:21:49;2025-07-08T10:09:21;5;5
6;medium till;which;2025-07-08;oh gosh;110;MEN;../fake-data/blob/hipster.txt;15183.53;3260.78;754.18;26369.03;26547.51;13960.99;17730.19;REJECTED;PAID;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;despite;true;2025-07-07T14:56:45;18528;NONE;pity;2025-07-07T17:26:23;2025-07-07T22:06:52;2025-07-08T11:32:26;2025-07-08T09:48:04;6;6
7;down;zowie phrase;2025-07-08;interchange;519;MIXED;../fake-data/blob/hipster.txt;7819.32;30593.48;24284.97;8940.86;9092.87;235.92;16221.02;PENDING;PARTIALLY_PAID;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unsightly overplay reassuringly;true;2025-07-07T15:32:51;11343;RESOLVED;handle in for;2025-07-07T17:49:10;2025-07-08T02:16:11;2025-07-08T04:06:45;2025-07-08T01:13:08;7;7
8;but yet;personalise cash lightly;2025-07-07;drat ouch;369;MEN;../fake-data/blob/hipster.txt;29775.03;29958.85;7337.97;17605.54;375.38;30851.57;30515.5;APPROVED;UNPAID;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;excepting slimy pomelo;false;2025-07-07T23:25:10;14679;RESOLVED;legging spark;2025-07-07T21:46:55;2025-07-08T10:08:07;2025-07-07T20:38:36;2025-07-07T20:41:11;8;8
9;boo if story;glass thorough perfumed;2025-07-07;stormy;883;WOMEN;../fake-data/blob/hipster.txt;28617.24;10700.99;26589.05;26459.46;27710.75;30292.5;31061.24;RESERVA;PARTIALLY_PAID;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whoever;true;2025-07-08T09:43:15;10168;ESCALATED;polished where home;2025-07-08T06:54:50;2025-07-08T05:56:08;2025-07-07T19:17:20;2025-07-07T17:32:30;9;9
10;whoever close wherever;yearn elver whose;2025-07-07;apostrophize someplace allocation;914;MEN;../fake-data/blob/hipster.txt;28104.42;28480.99;14904.63;17937.25;19978.44;11997.2;13889.76;COMPLETED;UNPAID;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;brace disposer guilty;true;2025-07-07T17:51:45;26004;DETECTED;yowza once swing;2025-07-08T04:14:17;2025-07-08T01:53:50;2025-07-08T05:10:47;2025-07-08T02:12:03;10;10
