id;item_type;template_id;template_name;quantity;unit_price;unit_cost;total_price;total_cost;customizations;notes;is_customized;version;created_at;updated_at;budget_id
1;"accommodation";reassuringly circulate;potentially ceramic;30973;20296.97;10893.69;7067.84;9480.16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;11035;2025-07-08T10:54:46;2025-07-07T17:33:50;1
2;"activity";finer knit;gee obscure;12318;12184.3;10386.61;7173.88;1234.3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;26030;2025-07-08T06:18:30;2025-07-08T07:34:14;2
3;"transport";although whose;however;6490;21404.64;9753.8;2383;8513.84;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;22813;2025-07-08T07:56:53;2025-07-08T14:44:49;3
4;"activity";geez so countess;oh acidly within;8846;19576.53;3514.06;21470.4;28509.38;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;27745;2025-07-07T20:36:16;2025-07-07T20:40:54;4
5;"accommodation";deafening;descriptive without misguided;2815;9760.46;32690.84;5542.66;2023.76;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;23118;2025-07-08T02:35:37;2025-07-08T04:46:23;5
6;"activity";tidy psst but;fund platter wallaby;27359;15709.77;29302.44;1923.58;32159.77;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;3321;2025-07-08T06:28:47;2025-07-07T16:37:20;6
7;"activity";partridge violently;demob mask if;15043;6806.41;580.64;23956.14;12515.59;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;6574;2025-07-07T19:52:01;2025-07-08T12:49:21;7
8;"activity";hmph;deduce train gift;24384;6390.73;22911.02;10824.04;32453.55;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;12203;2025-07-08T01:07:40;2025-07-07T23:12:07;8
9;"accommodation";phew;birdcage above;32401;16116.27;1097.94;19363.73;23153.29;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;10703;2025-07-08T04:25:00;2025-07-08T08:28:17;9
10;"menu";while pish ah;supposing;21046;10945.21;16467.82;26115.19;25122.74;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;11168;2025-07-08T06:51:11;2025-07-08T00:44:01;10
