id;name;description;type;category;is_active;is_system;configuration;template_data;version;created_at;updated_at;created_by_id
1;clearly circa blight;../fake-data/blob/hipster.txt;MENU;into;true;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5041;2025-07-07T17:20:35;2025-07-07T15:29:47;1
2;distant;../fake-data/blob/hipster.txt;ACTIVITY;afore father;false;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4466;2025-07-08T02:50:17;2025-07-08T04:57:07;2
3;than within;../fake-data/blob/hipster.txt;ACCOMMODATION;haunting animated perfectly;false;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;23368;2025-07-08T02:02:23;2025-07-08T13:49:03;3
4;preregister;../fake-data/blob/hipster.txt;ACTIVITY;fiddle;false;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;27222;2025-07-08T06:48:29;2025-07-08T01:24:16;4
5;apud yahoo;../fake-data/blob/hipster.txt;BUDGET;if;false;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11644;2025-07-08T00:18:36;2025-07-07T17:53:34;5
6;instead midst separately;../fake-data/blob/hipster.txt;TRANSPORT;ultimately for;true;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4272;2025-07-08T01:03:08;2025-07-07T19:43:59;6
7;blank;../fake-data/blob/hipster.txt;ACTIVITY;warped phew psst;true;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4614;2025-07-08T02:16:28;2025-07-08T11:17:57;7
8;upright;../fake-data/blob/hipster.txt;BUDGET;whoa towards;true;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;18440;2025-07-08T14:26:01;2025-07-07T19:08:05;8
9;reflecting freely delectable;../fake-data/blob/hipster.txt;ACCOMMODATION;fervently moralise microblog;false;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;27994;2025-07-08T11:13:20;2025-07-07T21:25:55;9
10;where quirkily wavy;../fake-data/blob/hipster.txt;ACCOMMODATION;while;false;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;31913;2025-07-07T23:54:19;2025-07-08T14:11:59;10
