id;name;description;category;unit;price_per_unit;min_order_quantity;max_order_quantity;supplier;supplier_contact;lead_time;shelf_life;storage_conditions;is_active;last_updated_price;created_at;updated_at;created_by_id
1;whether;../fake-data/blob/hipster.txt;BEVERAGES;ML;3051.78;1540.84;30300.04;celebrated;../fake-data/blob/hipster.txt;3378;8720;../fake-data/blob/hipster.txt;true;2025-07-07T22:27:01;2025-07-07T16:55:06;2025-07-08T13:58:06;1
2;triumphantly an too;../fake-data/blob/hipster.txt;VEGETABLES;BUNCHES;5180.09;3194.23;2341.48;hungrily;../fake-data/blob/hipster.txt;24187;7210;../fake-data/blob/hipster.txt;false;2025-07-08T07:00:24;2025-07-08T13:15:50;2025-07-08T00:36:00;2
3;unwieldy obesity;../fake-data/blob/hipster.txt;SUPPLIES;UNITS;21075.79;31600.21;7839.83;vicinity;../fake-data/blob/hipster.txt;3877;17638;../fake-data/blob/hipster.txt;true;2025-07-08T09:55:07;2025-07-08T00:56:08;2025-07-08T01:01:55;3
4;whoa well;../fake-data/blob/hipster.txt;CONDIMENTS;BAGS;17006.68;12835.79;31033.6;before dim happily;../fake-data/blob/hipster.txt;31896;11330;../fake-data/blob/hipster.txt;false;2025-07-07T20:05:45;2025-07-08T02:14:03;2025-07-07T15:54:04;4
5;uh-huh;../fake-data/blob/hipster.txt;CONDIMENTS;UNITS;10231.86;14531.89;19240.84;failing;../fake-data/blob/hipster.txt;19714;23862;../fake-data/blob/hipster.txt;false;2025-07-08T03:46:48;2025-07-08T12:50:03;2025-07-08T07:53:41;5
6;self-reliant indeed;../fake-data/blob/hipster.txt;EQUIPMENT;BOXES;24224.05;26082.38;21397.96;um;../fake-data/blob/hipster.txt;31353;10371;../fake-data/blob/hipster.txt;true;2025-07-07T22:30:56;2025-07-08T06:14:38;2025-07-07T16:40:14;6
7;finger versus ouch;../fake-data/blob/hipster.txt;BEVERAGES;KG;22755.52;30874.11;16421.74;and not;../fake-data/blob/hipster.txt;11907;8515;../fake-data/blob/hipster.txt;true;2025-07-08T01:00:51;2025-07-08T08:13:25;2025-07-07T18:38:51;7
8;tank;../fake-data/blob/hipster.txt;MEAT;UNITS;24781.4;25987.93;15807.5;within hydrolyze rigidly;../fake-data/blob/hipster.txt;10963;2270;../fake-data/blob/hipster.txt;true;2025-07-08T06:10:03;2025-07-08T14:18:56;2025-07-08T01:21:30;8
9;instead ah;../fake-data/blob/hipster.txt;MEAT;KG;17119.04;31369.35;5156.18;nocturnal conservative;../fake-data/blob/hipster.txt;23724;3107;../fake-data/blob/hipster.txt;true;2025-07-08T05:59:36;2025-07-08T05:16:12;2025-07-08T04:58:08;9
10;and why meh;../fake-data/blob/hipster.txt;BEVERAGES;PIECES;16719.12;20215.36;23125.75;duh unto display;../fake-data/blob/hipster.txt;24581;8202;../fake-data/blob/hipster.txt;true;2025-07-08T01:13:58;2025-07-07T18:55:53;2025-07-08T01:14:42;10
