id;product_name;total_quantity;unit;category;budget_ids;client_names;is_purchased;purchased_quantity;week_start;week_end;notes;supplier;supplier_contact;estimated_cost;actual_cost;delivery_date;is_consolidated;consolidated_at;purchased_at;conflict_status;version;created_at;updated_at;weekly_plan_id
1;throughout;7121.12;ML;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;26135.54;2025-07-08;2025-07-08;../fake-data/blob/hipster.txt;sadly but space;angle amongst;15494.72;19645.77;2025-07-08;true;2025-07-08T01:30:41;2025-07-08T07:56:55;NONE;14592;2025-07-08T01:22:43;2025-07-08T03:38:55;1
2;lest;12911.28;BOTTLES;MEAT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;29558.22;2025-07-08;2025-07-07;../fake-data/blob/hipster.txt;yippee;dead afore;10079.2;32698.12;2025-07-08;true;2025-07-08T00:46:42;2025-07-08T09:51:50;NONE;11060;2025-07-08T00:12:21;2025-07-08T10:26:28;2
3;fortunately moor massive;9619.31;BUNCHES;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;16108.61;2025-07-08;2025-07-07;../fake-data/blob/hipster.txt;for helplessly though;well boldly design;20164.83;11235.5;2025-07-08;false;2025-07-07T17:46:44;2025-07-07T21:35:09;NONE;4759;2025-07-08T07:50:20;2025-07-08T07:46:21;3
4;popularity;21982.39;G;VEGETABLES;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;18421.94;2025-07-08;2025-07-08;../fake-data/blob/hipster.txt;indeed;frantically yowza perfectly;13586.79;11594.54;2025-07-08;true;2025-07-07T19:47:36;2025-07-08T12:24:05;DETECTED;10647;2025-07-08T11:33:43;2025-07-08T09:58:14;4
5;who;31114.23;LITERS;DECORATIONS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;29080.03;2025-07-08;2025-07-08;../fake-data/blob/hipster.txt;less;interviewer cone blah;5518.63;12276.9;2025-07-08;true;2025-07-08T13:30:15;2025-07-08T10:44:50;DETECTED;24455;2025-07-07T18:15:42;2025-07-07T16:32:37;5
6;petty enrich yesterday;28481.49;SLICES;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;21442.18;2025-07-07;2025-07-08;../fake-data/blob/hipster.txt;shovel;sign whose;21549.45;27972.31;2025-07-08;true;2025-07-08T01:51:56;2025-07-08T02:29:23;ESCALATED;16625;2025-07-07T23:44:26;2025-07-08T06:35:34;6
7;usually boo;5356.34;PIECES;BEVERAGES;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;8495.19;2025-07-08;2025-07-08;../fake-data/blob/hipster.txt;scarily incidentally;fence;17921.21;9110.6;2025-07-07;false;2025-07-08T13:19:35;2025-07-08T06:37:57;DETECTED;6196;2025-07-08T08:49:27;2025-07-08T03:18:55;7
8;after;23781.07;SLICES;DECORATIONS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;31308.75;2025-07-07;2025-07-08;../fake-data/blob/hipster.txt;woot when;via;2212.21;1967.49;2025-07-07;false;2025-07-08T13:49:14;2025-07-07T18:07:05;RESOLVED;13857;2025-07-08T07:41:27;2025-07-08T12:41:30;8
9;fuss definite lovingly;9651.66;BOXES;MEAT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;26803.77;2025-07-07;2025-07-07;../fake-data/blob/hipster.txt;eminent conclude;supposing likewise but;1011.08;25136.61;2025-07-08;true;2025-07-08T15:01:06;2025-07-08T00:31:13;DETECTED;22406;2025-07-07T19:16:24;2025-07-08T11:05:36;9
10;whenever rudely into;25350.08;PIECES;OTHER;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2165.8;2025-07-08;2025-07-08;../fake-data/blob/hipster.txt;perfectly;exactly yet psst;13498.82;13003.34;2025-07-08;false;2025-07-07T22:33:42;2025-07-08T08:39:30;NONE;7394;2025-07-08T14:18:46;2025-07-08T02:35:52;10
