id;config_key;config_value;description;is_active;category;is_system;data_type;validation_rules;created_at;updated_at;created_by_id
1;blink er ha;../fake-data/blob/hipster.txt;quaintly;true;aw;false;merit relaunch qua;../fake-data/blob/hipster.txt;2025-07-08T04:54:48;2025-07-08T10:08:56;1
2;pish;../fake-data/blob/hipster.txt;kick;true;forenenst paintwork;false;hmph;../fake-data/blob/hipster.txt;2025-07-08T05:44:00;2025-07-08T09:45:33;2
3;digital;../fake-data/blob/hipster.txt;closely;true;crank quirkily unpleasant;true;separately millet;../fake-data/blob/hipster.txt;2025-07-08T03:04:27;2025-07-08T11:03:58;3
4;incidentally;../fake-data/blob/hipster.txt;during papa meh;true;yet absolve tomorrow;true;deployment;../fake-data/blob/hipster.txt;2025-07-08T08:31:42;2025-07-08T12:03:41;4
5;duh poorly;../fake-data/blob/hipster.txt;ah enthusiastically gee;false;healthily although;true;wombat birth;../fake-data/blob/hipster.txt;2025-07-07T18:11:42;2025-07-08T14:38:13;5
6;gah whether;../fake-data/blob/hipster.txt;trust;true;toady;true;times;../fake-data/blob/hipster.txt;2025-07-07T16:30:46;2025-07-07T22:34:52;6
7;woot between for;../fake-data/blob/hipster.txt;solemnly zowie ew;false;gorgeous;true;sustenance beard;../fake-data/blob/hipster.txt;2025-07-08T05:44:13;2025-07-08T05:20:10;7
8;tinderbox when best-seller;../fake-data/blob/hipster.txt;ecliptic;false;display an um;true;covenant austere los;../fake-data/blob/hipster.txt;2025-07-08T03:23:57;2025-07-07T22:29:11;8
9;hm whoa;../fake-data/blob/hipster.txt;qua hope;false;yum gadzooks recount;true;indeed for satisfy;../fake-data/blob/hipster.txt;2025-07-08T03:56:11;2025-07-08T05:55:48;9
10;out bin;../fake-data/blob/hipster.txt;upside-down other;true;whoever pessimistic;false;season where lest;../fake-data/blob/hipster.txt;2025-07-07T21:57:17;2025-07-07T22:56:02;10
