id;title;description;type;priority;status;assigned_to_role;due_date;due_time;estimated_duration;actual_duration;location;requirements;notes;invoice_url;auto_scheduled;is_recurring;parent_task_id;completed_at;started_at;version;conflict_status;last_modified_by;created_at;updated_at;created_by_id;related_budget_id
1;quit below;../fake-data/blob/hipster.txt;RESERVATION;HIGH;BLOCKED;COOK;2025-07-07;01:34:00;1614;6323;certification;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sweet any whoever;true;false;victoriously frenetically;2025-07-08T07:50:09;2025-07-08T09:57:49;17568;NONE;bossy square sternly;2025-07-08T12:41:05;2025-07-08T01:25:28;1;1
2;within;../fake-data/blob/hipster.txt;NEED;LOW;TODO;ADMIN;2025-07-08;14:31:00;28718;26524;consequently outdo unless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;blah amongst;false;true;readmit synthesise;2025-07-07T23:32:04;2025-07-07T23:57:23;13035;NONE;legend;2025-07-07T20:13:09;2025-07-07T19:33:35;2;2
3;recount;../fake-data/blob/hipster.txt;SHOPPING;LOW;TODO;LOGISTICS;2025-07-08;07:20:00;11064;8964;midwife within;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;until glittering;true;false;hm converse;2025-07-07T22:03:38;2025-07-07T18:52:44;26611;DETECTED;fall unique;2025-07-08T14:44:26;2025-07-08T12:45:44;3;3
4;ah how jittery;../fake-data/blob/hipster.txt;SETUP;MEDIUM;BLOCKED;ADMIN;2025-07-07;17:57:00;4783;9675;gruesome cheerful hmph;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;atop gray overconfidently;false;false;obnoxiously whenever;2025-07-08T07:20:38;2025-07-07T22:37:12;20074;ESCALATED;gripper;2025-07-08T11:58:28;2025-07-07T23:10:00;4;4
5;whose lifestyle anenst;../fake-data/blob/hipster.txt;SETUP;MEDIUM;DONE;ADMIN;2025-07-07;15:09:00;26632;17701;soon inscribe sparkling;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;croon;false;true;ew forenenst;2025-07-07T20:28:36;2025-07-08T10:54:09;16530;ESCALATED;jogging ouch;2025-07-07T18:29:30;2025-07-08T05:35:22;5;5
6;concerning;../fake-data/blob/hipster.txt;SETUP;LOW;BLOCKED;LOGISTICS;2025-07-07;20:02:00;2021;20491;abscond aboard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;preheat reference joyously;false;true;incidentally publication nutritious;2025-07-08T13:39:33;2025-07-08T12:32:07;5664;RESOLVED;truly redound;2025-07-07T22:56:43;2025-07-08T01:15:45;6;6
7;apparatus;../fake-data/blob/hipster.txt;NEED;MEDIUM;CANCELED;SALES;2025-07-08;17:26:00;3916;19448;aha mature;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;manipulate;false;true;inside tedious;2025-07-08T04:24:04;2025-07-08T05:45:32;4486;ESCALATED;huzzah underneath;2025-07-07T15:38:49;2025-07-08T03:29:19;7;7
8;within;../fake-data/blob/hipster.txt;NEED;LOW;CANCELED;LOGISTICS;2025-07-08;23:41:00;12768;15269;mentor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;vivaciously premium quick-witted;false;true;settler given boohoo;2025-07-08T11:51:34;2025-07-08T11:19:36;23638;NONE;cautiously;2025-07-08T10:58:16;2025-07-08T07:54:24;8;8
9;scamper drug;../fake-data/blob/hipster.txt;SETUP;LOW;CANCELED;LOGISTICS;2025-07-07;03:49:00;32691;25461;boohoo alongside drat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;regular exactly warmly;true;true;viciously outnumber requite;2025-07-08T09:03:20;2025-07-08T09:17:57;25526;DETECTED;swear;2025-07-08T11:05:35;2025-07-08T08:53:57;9;9
10;oof oof;../fake-data/blob/hipster.txt;CLEANUP;URGENT;BLOCKED;COOK;2025-07-07;07:48:00;5462;4869;representation volunteer unibody;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;towards;false;false;fooey godfather;2025-07-07T18:24:26;2025-07-08T07:41:57;12975;NONE;amongst majority until;2025-07-07T19:30:29;2025-07-07T17:49:19;10;10
