id;trigger_name;entity_type;trigger_condition;action_type;action_configuration;is_active;execution_order;last_executed;execution_count;created_at;updated_at;created_by_id
1;fold innocently equally;toothpick;../fake-data/blob/hipster.txt;beloved;../fake-data/blob/hipster.txt;true;10543;2025-07-07T23:00:37;8614;2025-07-08T12:51:21;2025-07-07T18:34:46;1
2;because;meanwhile;../fake-data/blob/hipster.txt;midst ugh;../fake-data/blob/hipster.txt;true;28644;2025-07-07T15:42:25;25121;2025-07-07T16:54:57;2025-07-08T09:03:50;2
3;fervently;rationale invite plugin;../fake-data/blob/hipster.txt;above er;../fake-data/blob/hipster.txt;true;23925;2025-07-08T04:44:37;5288;2025-07-08T11:15:15;2025-07-08T06:13:56;3
4;oof behind;into ah;../fake-data/blob/hipster.txt;aw mature;../fake-data/blob/hipster.txt;false;21651;2025-07-07T21:04:33;21797;2025-07-08T04:21:25;2025-07-08T03:42:34;4
5;sock birth;quarrel deny for;../fake-data/blob/hipster.txt;behind boo lest;../fake-data/blob/hipster.txt;false;26531;2025-07-08T05:05:17;22341;2025-07-08T03:58:13;2025-07-08T07:12:50;5
6;bungalow;cutlet elementary wherever;../fake-data/blob/hipster.txt;suckle eek memorise;../fake-data/blob/hipster.txt;true;24424;2025-07-07T21:01:35;9099;2025-07-07T20:50:24;2025-07-08T10:49:02;6
7;brightly for;oh wire unsung;../fake-data/blob/hipster.txt;among inasmuch dual;../fake-data/blob/hipster.txt;true;24151;2025-07-08T08:46:36;2925;2025-07-08T14:02:53;2025-07-07T21:40:45;7
8;unwritten kosher;geez;../fake-data/blob/hipster.txt;in important;../fake-data/blob/hipster.txt;true;7965;2025-07-08T06:16:00;16589;2025-07-07T17:43:56;2025-07-08T11:47:45;8
9;neat whether;than stingy forsaken;../fake-data/blob/hipster.txt;tune huzzah including;../fake-data/blob/hipster.txt;true;28483;2025-07-07T18:39:55;3771;2025-07-07T19:35:37;2025-07-08T03:14:03;9
10;interesting treasure till;when ack;../fake-data/blob/hipster.txt;perfectly;../fake-data/blob/hipster.txt;true;15440;2025-07-08T09:50:51;6930;2025-07-07T21:49:31;2025-07-07T20:21:07;10
